0	事故	34611	2656	2703	0.017541035680123187
1	生产	16576	1525	2703	0.5723678572349356
2	瓦斯	10218	485	2703	1.7179686553389644
3	发生	9865	1790	2703	0.412146647441647
4	工作	9304	1659	2703	0.48814725608600307
5	原因	9253	2514	2703	0.07248715712625493
6	煤矿	9204	773	2703	1.2518384976890256
7	人员	8486	1836	2703	0.3867729750960119
8	作业	8003	1661	2703	0.48694243666315273
9	工作面	7765	1202	2703	0.8103754311812946
10	管理	6956	1544	2703	0.5599858156917261
11	矿井	6162	609	2703	1.4902992785665505
12	措施	6112	1219	2703	0.7963314167951762
13	分析	5877	2248	2703	0.18432133526286595
14	现场	5816	1643	2703	0.49783842823917956
15	情况	5284	1423	2703	0.6415949481865952
16	井下	4990	734	2703	1.303608517661932
17	检查	4746	1424	2703	0.6408924543045266
18	责任	4695	562	2703	1.5706156963827567
19	发现	4517	1354	2703	0.6912990928042273
20	煤矿安全	4434	384	2703	1.9514749936887208
21	煤层	4382	315	2703	2.1495449074508146
22	通风	4345	464	2703	1.7622329940501924
23	技术	4295	711	2703	1.3354451164732066
24	该矿	4266	270	2703	2.3036955872780727
25	领导	4246	600	2703	1.5051878910603012
26	职工	4112	1325	2703	0.712949807856125
27	案例	3978	1860	2703	0.3737857795692006
28	建议	3554	127	2703	3.0579304598178565
29	给予	3460	179	2703	2.7147317404356928
30	巷道	3422	690	2703	1.3654259486851426
31	组织	3375	984	2703	1.0104916492241942
32	这起	3067	415	2703	1.8738390260457491
33	开采	2916	257	2703	2.3530414613812276
34	安排	2866	1078	2703	0.9192547948075052
35	负有	2855	122	2703	3.098096501543191
36	违章	2773	1025	2703	0.9696696547039391
37	到位	2763	1135	2703	0.8677296163609445
38	导致	2755	1072	2703	0.9248362046457004
39	处分	2684	106	2703	3.2386784521643803
40	评价	2678	72	2703	3.6254514272603924
41	顶板	2622	578	2703	1.5425436776040702
42	放炮	2552	400	2703	1.9106529991684658
43	教育	2492	1185	2703	0.8246194927072161
44	系统	2485	473	2703	1.7430221577845146
45	防范措施	2452	1638	2703	0.5008862818634329
46	大营	2412	2	2703	7.208970365716502
47	落实	2345	804	2703	1.2125182770974814
48	设备	2330	705	2703	1.343919743464179
49	工人	2302	756	2703	1.2740761700969148
50	煤炭	2275	168	2703	2.778153566873189
51	一矿	2266	100	2703	3.2969473602883563
52	某矿	2258	197	2703	2.618913817538459
53	绞车	2250	399	2703	1.9131561293865842
54	施工	2249	801	2703	1.2162565992080885
55	规程	2209	671	2703	1.3933484093047657
56	有限公司	2185	109	2703	3.210769664047304
57	死亡	2157	1076	2703	0.9211118055547179
58	培训	2134	940	2703	1.056237671012398
59	公司	2122	541	2703	1.6086982674299661
60	地点	2118	974	2703	1.0207062426339126
61	过程	2107	922	2703	1.0755723227198537
62	煤尘爆炸	2095	102	2703	3.2771447329921766
63	副井	2064	134	2703	3.004277746325536
64	非法	2038	69	2703	3.668011041679188
65	部门	2013	368	2703	1.9940346081075166
66	整顿	2011	123	2703	3.08993319090403
67	负责	2007	525	2703	1.638719283684824
68	司机	1961	674	2703	1.3888874353641407
69	监督	1907	496	2703	1.69554161955152
70	许可证	1903	96	2703	3.3377693548086116
71	采用	1889	462	2703	1.7665526551947086
72	特别	1889	339	2703	2.0761174388959973
73	运输	1875	546	2703	1.5994985705315425
74	矿务局	1866	134	2703	3.004277746325536
75	掘进	1851	540	2703	1.6105484067181275
76	瓦斯爆炸	1827	205	2703	2.5791075671380392
77	条件	1825	317	2703	2.143215772399167
78	采区	1815	388	2703	1.941112206653174
79	隐患	1811	694	2703	1.359645585769643
80	安装	1809	501	2703	1.685511445191583
81	教训	1803	733	2703	1.304971844389796
82	行政	1801	136	2703	2.9894626605403958
83	爆炸	1794	215	2703	2.531479518148785
84	检修	1788	559	2703	1.5759680731213486
85	运行	1786	642	2703	1.4375292425864863
86	操作	1742	775	2703	1.2492545169231006
87	宝丰县	1721	3	2703	6.803505257608338
88	水平	1713	333	2703	2.093975056296004
89	班长	1684	756	2703	1.2740761700969148
90	制止	1666	390	2703	1.9359708071527555
91	制度	1644	690	2703	1.3654259486851426
92	提高	1606	949	2703	1.0467087476665198
93	通风机	1591	111	2703	3.1925873449641133
94	局部	1528	277	2703	2.278100040089109
95	支架	1519	367	2703	1.9967556982218773
96	时间	1505	821	2703	1.1915944368240194
97	电缆	1499	250	2703	2.3806566284142012
98	综采	1460	494	2703	1.699582029088525
99	皮带	1459	275	2703	2.285346448609876
100	安全意识	1455	843	2703	1.165150588274592
101	设计	1403	385	2703	1.9488742119886633
102	矿长	1400	192	2703	2.644622174248666
103	指挥	1388	601	2703	1.50352261174124
104	采掘	1387	225	2703	2.4860171440720276
105	调查	1358	296	2703	2.211758091952387
106	采煤	1337	307	2703	2.1752697986892504
107	能力	1328	599	2703	1.5068559481609982
108	防突	1297	41	2703	4.18854547957214
109	当班	1297	678	2703	1.3829702583360521
110	制定	1296	462	2703	1.7665526551947086
111	主井	1285	148	2703	2.9049052725123325
112	上山	1276	220	2703	2.508489999924086
113	意识	1272	705	2703	1.343919743464179
114	回采工作面	1219	77	2703	3.5583121244227636
115	机构	1205	102	2703	3.2771447329921766
116	单位	1193	538	2703	1.6142589861146632
117	未能	1189	337	2703	2.082034615924086
118	报告	1183	273	2703	2.292645751091488
119	提升	1174	281	2703	2.263762876942702
120	刮板	1162	217	2703	2.522220192735988
121	书记	1159	169	2703	2.772218831353374
122	执行	1154	522	2703	1.6444499583938088
123	严禁	1153	553	2703	1.5867595447541127
124	停产	1150	182	2703	2.698110859199652
